,article_name,country,revision_id,article_quality,population
0,Template:ZambiaProvincialMinisters,Zambia,235107991,Stub,15473900
1,Gladys Lundwe,Zambia,757566606,Stub,15473900
2,Mwamba Luchembe,Zambia,764848643,Stub,15473900
3,Thandiwe Banda,Zambia,768166426,Start,15473900
4,Sylvester Chisembele,Zambia,776082926,C,15473900
5,Victoria Kalima,Zambia,776530837,Start,15473900
6,Margaret Mwanakatwe,Zambia,779747587,Start,15473900
7,Nkandu Luo,Zambia,779747961,C,15473900
8,Susan Nakazwe,Zambia,779748181,Start,15473900
9,Catherine Namugala,Zambia,779748285,Start,15473900
10,Edith Nawakwi,Zambia,779748522,Start,15473900
11,Joyce Nonde-Simukoko,Zambia,779748628,Start,15473900
12,Gladys Nyirongo,Zambia,779748837,C,15473900
13,Vera Tembo,Zambia,779748931,Start,15473900
14,Ompie Nkumbula-Lieventhal,Zambia,790011468,Stub,15473900
15,Besnat Jere,Zambia,791225634,Stub,15473900
16,Esther Lungu,Zambia,792296625,C,15473900
17,Inonge Wina,Zambia,794006130,Start,15473900
18,Maureen Mwanawasa,Zambia,795820299,Start,15473900
19,First Lady of Zambia,Zambia,796467991,Start,15473900
20,Jean Kapata,Zambia,797469872,Start,15473900
21,Peter Sinkamba,Zambia,799512628,Stub,15473900
22,Gwendoline Konie,Zambia,803304465,Start,15473900
23,Kenneth Kaunda,Zambia,805875783,C,15473900
24,Inonge Mbikusita-Lewanika,Zambia,805993958,Start,15473900
25,Yobert K. Shamapande,Zambia,806345311,C,15473900
26,Bir I of Kanem,Chad,355319463,Stub,13707000
27,Abdullah II of Kanem,Chad,498683267,Stub,13707000
28,Salmama II of Kanem,Chad,565745353,Stub,13707000
29,Kuri I of Kanem,Chad,565745365,Stub,13707000
30,Mohammed I of Kanem,Chad,565745375,Stub,13707000
31,Kuri II of Kanem,Chad,669719757,Stub,13707000
32,Bir II of Kanem,Chad,670893206,Stub,13707000
33,Mahamat Hissene,Chad,693055898,Stub,13707000
34,Othman I,Chad,705432607,Stub,13707000
35,Alphonse Kotiga,Chad,707593108,Stub,13707000
36,Oueddei Kichidemi,Chad,708346649,Start,13707000
37,Dunama I,Chad,710675092,Stub,13707000
38,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,13707000
39,Djibrine Kerallah,Chad,712971263,Stub,13707000
40,Maurice Ngangtar,Chad,712971315,Stub,13707000
41,Idriss Miskine,Chad,712971738,Stub,13707000
42,Laoukein Kourayo Médard,Chad,716886170,Stub,13707000
43,Nadji Madou,Chad,716886788,Stub,13707000
44,Noël Milarew Odingar,Chad,716891799,Start,13707000
45,Yaya Dillo Djérou,Chad,717733209,Stub,13707000
46,Acheikh Ibn-Oumar,Chad,719821590,Start,13707000
47,Quatre Sou Quatre,Chad,720066754,Stub,13707000
48,Ali Gazi,Chad,722563340,Stub,13707000
49,Mahamat Djarma Khatir,Chad,725132042,Stub,13707000
50,Dunama IX Lefiami,Chad,731749611,Stub,13707000
51,Dawud of Kanem,Chad,736550266,Stub,13707000
52,Ahmed Koulamallah,Chad,738855197,Start,13707000
53,Abbo Nassour,Chad,741369486,C,13707000
54,Abdel Kader Baba-Laddé,Chad,742213176,Stub,13707000
55,Hummay,Chad,747271475,Stub,13707000
56,Ngarlejy Yorongar,Chad,751304544,C,13707000
57,Saleh Kezabo,Chad,751380073,Stub,13707000
58,Bourkou Louise Kabo,Chad,757072468,Start,13707000
59,Brahim Koulamallah,Chad,757802238,Stub,13707000
60,Saadie Goukouni Weddeye,Chad,757842614,Start,13707000
61,Mahamoud Adam Béchir,Chad,762579466,Start,13707000
62,Kalthouma Nguembang,Chad,762816132,Stub,13707000
63,Djidingar Dono Ngardoum,Chad,764133533,Stub,13707000
64,Template:ChadPMs,Chad,768123377,Stub,13707000
65,Template:ChadPres,Chad,770535091,Stub,13707000
66,Youssouf Saleh Abbas,Chad,771052289,B,13707000
67,Koibla Djimasta,Chad,774223245,Start,13707000
68,Nassour Guelendouksia Ouaido,Chad,774223248,C,13707000
69,Joseph Brahim Seid,Chad,777478442,Stub,13707000
70,Joseph Yodoyman,Chad,777550078,Start,13707000
71,Antoine Bangui,Chad,782638002,Start,13707000
72,Ibrahim IV of Bornu,Chad,785614014,Stub,13707000
73,Hadjé Halimé,Chad,786449636,C,13707000
74,Youssouf Togoïmi,Chad,787390241,Start,13707000
75,Adoum Younousmi,Chad,787719236,Start,13707000
76,François Tombalbaye,Chad,787738541,C,13707000
77,Ahmat Hassaballah Soubiane,Chad,787910771,Stub,13707000
78,Ahmad Allam-Mi,Chad,787921293,Start,13707000
79,Laotegguelnodji Koumtog,Chad,788009613,Stub,13707000
80,Mahamat Ali Adoum,Chad,788014671,Start,13707000
81,Mahamat Saleh Annadif,Chad,788658822,Start,13707000
82,Mohamed Bechir-Sow,Chad,788827248,Stub,13707000
83,Gontchomé Sahoulba,Chad,788828388,Start,13707000
84,Gabriel Lisette,Chad,788828519,Start,13707000
85,Ali II of Bornu,Chad,788999424,Stub,13707000
86,Arabi El Goni,Chad,789126126,Stub,13707000
87,Dunama Dabbalemi,Chad,789935196,Start,13707000
88,Idris Alooma,Chad,792734868,Start,13707000
89,Mahamat Nouri,Chad,792954115,FA,13707000
