,country,page,last_edit,article_quality
0,Abkhazia,Zurab Achba,802551672,C
1,Abkhazia,Garri Aiba,774499188,Stub
2,Abkhazia,Zaur Avidzba,803841397,C
3,Abkhazia,Raul Eshba,789818648,Start
4,Abkhazia,Guram Gabiskiria,785284614,Start
5,Abkhazia,Zakan Jugelia,798644673,Stub
6,Abkhazia,Zhiuli Shartava,728644481,Stub
7,Abkhazia,Yuri Voronov,788591677,Start
8,Abkhazia,Zaur Ardzinba,758713659,C
9,Abkhazia,Gennadi Berulava,802860970,Start
10,Abkhazia,Samson Chanba,797469371,GA
11,Abkhazia,Efrem Eshba,804349394,Start
12,Abkhazia,Nestor Lakoba,799618550,Start
13,Abkhazia,Sumbat Saakian,805063877,Stub
14,Abkhazia,Shota Shamatava,718383950,Stub
15,Abkhazia,Bagrat Shinkuba,805775169,Start
16,Afghanistan,Laghman Province,778690357,Start
17,Afghanistan,Roqia Abubakr,779839643,Stub
18,Afghanistan,Sitara Achakzai,803055503,GA
19,Afghanistan,Khadija Ahrari,805920528,GA
20,Afghanistan,Rahila Bibi Kobra Alamshahi,717743144,Stub
21,Afghanistan,Shahla Ata,787347770,C
22,Afghanistan,Salamat Azimi,759405630,Start
23,Afghanistan,Shukria Barakzai,787258680,Start
24,Afghanistan,Delbar Nazari,805967589,B
25,Afghanistan,Maryam Durani,795223533,C
26,Afghanistan,Masuma Esmati-Wardak,779389809,Stub
27,Afghanistan,Frozan Fana,789039267,Stub
28,Afghanistan,Fauzia Gailani,799980094,C
29,Afghanistan,Husn Banu Ghazanfar,779389407,Stub
30,Afghanistan,Anarkali Kaur Honaryar,785284556,Start
31,Afghanistan,Malali Ishaqzai,789818730,Start
32,Afghanistan,Azra Jafari,802286319,Start
33,Afghanistan,Gul Haar Jalal,802280148,Stub
34,Afghanistan,Massouda Jalal,800128121,Start
35,Afghanistan,Seema Jowenda,793950185,C
36,Afghanistan,Malalai Joya,723736482,Stub
37,Afghanistan,Fariba Ahmadi Kakar,795919634,C
38,Afghanistan,Shinkai Karokhail,775966269,C
39,Afghanistan,Zeenat Karzai,800175991,Start
40,Afghanistan,Fawzia Koofi,755193428,Stub
41,Afghanistan,Zahera Ahmadyar Mawlayee,803018106,Stub
42,Afghanistan,Farida Momand,717733887,Stub
43,Afghanistan,Robina Muqimyar,786203824,Start
44,Afghanistan,Farkhunda Zahra Naderi,704938340,Start
45,Afghanistan,Anahita Ratebzad,694519009,Start
46,Afghanistan,Shah Gul Rezai,797072546,Start
47,Afghanistan,Zefnoon Safai,716814855,Stub
48,Afghanistan,Nilofar Sakhi,802029007,Start
49,Afghanistan,Sima Samar,721094337,Stub
50,Afghanistan,Habiba Sarobi,796975361,Start
51,Afghanistan,Shakiba Hashemi,795276759,C
52,Afghanistan,Sahira Sharif,798059926,C
53,Afghanistan,Sohaila Sharifi,803706243,Stub
54,Afghanistan,Malalai Shinwari,803775914,C
55,Afghanistan,Suhaila Seddiqi,803792380,C
56,Afghanistan,Suraya Dalil,803983131,GA
57,Afghanistan,Toorpekai,795268854,Stub
58,Afghanistan,Qadria Yazdanparast,797048177,C
59,Afghanistan,"List of candidates in the Afghan presidential election, 2009",795275238,Start
60,Afghanistan,Barakzai dynasty,795269744,Stub
61,Afghanistan,Durrani dynasty,804299877,GA
62,Afghanistan,Ali Shah Durrani,796930327,C
63,Afghanistan,Ayub Shah Durrani,797089185,C
64,Afghanistan,Mahmud Shah Durrani,800408372,C
65,Afghanistan,Shah Shujah Durrani,805924089,GA
66,Afghanistan,Abdur Rahman Khan,795276004,Start
67,Afghanistan,Ayub Khan (Emir of Afghanistan),791417213,Start
68,Afghanistan,Dost Mohammad Khan (Emir of Afghanistan),795282600,Stub
69,Afghanistan,Mohammad Afzal Khan,795275051,Start
70,Afghanistan,Mohammad Azam Khan,805957551,C
71,Afghanistan,Mohammad Yaqub Khan,806216425,GA
72,Afghanistan,Sher Ali Khan,795278213,Stub
73,Afghanistan,Wazir Akbar Khan,797153892,Stub
74,Afghanistan,Shuja Shah Durrani,795279646,GA
75,Afghanistan,Ghulam Muhammad Tarzi,805922525,Start
76,Afghanistan,Wazir Arsala Khan,798873145,Stub
77,Afghanistan,Abdul Qadir (Afghan leader),797157277,Stub
